CODIGO;PDVs ATIVOS
3;3
4;3
8;3
12;3
13;5
14;3
15;3
16;3
17;3
18;3
19;5
21;3
23;3
24;3
25;3
26;3
27;3
29;3
30;3
31;4
32;3
34;3
35;3
36;3
37;3
39;3
41;3
42;3
43;3
45;3
46;4
47;3
48;3
50;3
52;3
53;3
55;3
57;3
58;4
59;3
60;3
61;3
62;3
63;3
65;3
67;3
68;3
69;3
70;3
71;3
72;4
74;3
75;3
76;3
77;3
78;3
79;3
80;3
81;3
82;5
83;3
84;3
85;3
86;4
87;3
88;3
89;3
90;3
91;3
92;3
93;3
94;3
95;3
97;3
98;3
99;4
100;3
101;3
102;3
103;3
104;3
105;3
106;3
107;5
108;3
109;3
110;3
111;3
112;3
113;3
114;3
116;3
117;3
118;3
119;3
121;3
125;3
126;3
127;3
130;4
132;3
133;3
134;4
135;4
136;3
137;3
138;3
139;3
140;4
141;3
143;4
144;4
145;3
147;3
148;3
151;4
152;4
154;4
155;3
156;4
157;3
159;3
161;3
163;3
164;3
165;3
166;4
167;3
168;3
169;3
170;3
171;3
172;3
173;3
174;3
175;3
177;3
178;3
179;3
180;4
181;3
182;3
184;3
185;3
186;4
187;3
188;3
189;3
191;5
192;2
193;3
194;4
195;3
198;3
199;3
200;3
202;3
203;3
205;4
206;3
207;3
208;3
211;3
212;3
213;3
214;3
215;3
216;3
218;3
219;3
220;3
221;3
222;3
223;3
224;3
225;3
226;3
227;3
228;3
229;3
230;3
231;5
232;5
233;4
235;4
236;3
238;3
239;3
240;3
241;3
242;3
243;3
244;3
245;3
246;3
247;3
249;4
251;3
252;3
253;3
254;3
255;3
256;3
257;3
258;3
259;4
261;3
262;3
263;3
264;3
265;3
266;4
267;3
268;3
269;3
270;3
271;3
272;3
273;3
274;3
275;5
277;3
278;3
280;3
281;3
282;3
283;4
286;3
287;3
288;3
289;3
290;3
294;3
306;3
307;3
308;4
309;3
310;3
311;3
312;3
313;3
314;3
315;3
316;3
317;4
318;3
319;3
320;5
321;3
